labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.877,0.851,0.904,0,0.866,0.834,0.901,0,0.87,0.836,0.906,0,0.871,0.005,0.84,0.008,0.904,0.002
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.921,0.941,0.901,1,0.913,0.89,0.937,2,0.925,0.934,0.915,2,0.92,0.005,0.922,0.023,0.918,0.015
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.934,0.93,0.939,1,0.924,0.939,0.911,2,0.927,0.971,0.887,1,0.928,0.004,0.947,0.018,0.912,0.021
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.941,0.942,0.94,1,0.939,0.946,0.932,1,0.94,0.964,0.917,1,0.94,0.001,0.951,0.01,0.93,0.01
400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.949,0.966,0.932,1,0.945,0.954,0.936,1,0.956,0.963,0.948,1,0.95,0.005,0.961,0.005,0.939,0.007
500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.96,0.964,0.956,1,0.954,0.956,0.951,1,0.953,0.945,0.962,1,0.956,0.003,0.955,0.008,0.956,0.004
600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.955,0.953,0.958,1,0.946,0.926,0.967,1,0.961,0.967,0.956,1,0.954,0.006,0.949,0.017,0.96,0.005
700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.964,0.968,0.959,1,0.964,0.971,0.956,1,0.964,0.965,0.962,1,0.964,0.0,0.968,0.002,0.959,0.002
800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.958,0.965,0.951,1,0.961,0.976,0.947,1,0.957,0.961,0.954,1,0.959,0.002,0.967,0.006,0.951,0.003
900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.966,0.967,0.965,1,0.963,0.977,0.95,1,0.967,0.978,0.956,1,0.965,0.002,0.974,0.005,0.957,0.006
1000,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.966,0.963,0.969,1,0.968,0.981,0.956,1,0.965,0.976,0.954,1,0.966,0.001,0.973,0.008,0.96,0.007
1100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.957,0.983,0.932,1,0.966,0.963,0.97,1,0.965,0.964,0.965,1,0.963,0.004,0.97,0.009,0.956,0.017
1200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.967,0.97,0.964,1,0.967,0.981,0.954,1,0.962,0.961,0.962,1,0.965,0.002,0.971,0.008,0.96,0.004
1300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.957,0.976,0.939,1,0.969,0.982,0.956,1,0.967,0.981,0.953,1,0.964,0.005,0.98,0.003,0.949,0.007
1400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.966,0.963,0.969,1,0.966,0.971,0.961,1,0.965,0.967,0.964,1,0.966,0.0,0.967,0.003,0.965,0.003
1500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.964,0.974,0.954,1,0.964,0.954,0.975,1,0.967,0.978,0.958,1,0.965,0.001,0.969,0.01,0.962,0.009
1600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.962,0.955,0.969,1,0.967,0.969,0.965,1,0.97,0.982,0.958,1,0.966,0.003,0.969,0.011,0.964,0.005
1700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.964,0.971,0.956,1,0.967,0.978,0.958,1,0.962,0.971,0.953,1,0.964,0.002,0.973,0.003,0.956,0.002
1800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.963,0.968,0.958,1,0.965,0.965,0.965,1,0.963,0.967,0.959,1,0.964,0.001,0.967,0.001,0.961,0.003
1900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.966,0.976,0.956,1,0.973,0.982,0.964,1,0.968,0.973,0.962,1,0.969,0.003,0.977,0.004,0.961,0.003
2000,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.963,0.957,0.969,1,0.972,0.985,0.959,1,0.969,0.976,0.962,1,0.968,0.004,0.973,0.012,0.963,0.004
